CAPITAL FEDERAL,VILLA REAL,1194,BEIRO,AV. FCO. BEIRO 5530,-,
CAPITAL FEDERAL,VILLA SOLDATI,149,FARMASERV,AV. FCO.F. DE LA CRUZ 4602,-,
CAPITAL FEDERAL,VILLA URQUIZA,9734,URQUIZA,BAUNESS 2600,-,
GRAN BUENOS AIRES (NORTE),ACASSUSO,1232,ZONA VITAL ACASSUSO,AV. SANTA FE 902,-,
GRAN BUENOS AIRES (NORTE),BECCAR,10245,FARMAPLUS LOMAS II,AV. SUCRE 2116,-,
GRAN BUENOS AIRES (NORTE),BOULOGNE,2073,SAMBAN,BERNARDO DE IRIGOYEN 601,-,
GRAN BUENOS AIRES (NORTE),CARAPACHAY,138,DUTKIEWICZ,INDEPENDENCIA 2980,-,
GRAN BUENOS AIRES (NORTE),CASEROS,2261,GIGLIOTTI,AV. SAN MARTIN 2643,-,
GRAN BUENOS AIRES (NORTE),DEL VISO,486,GUTKIND,INDEPENDENCIA 7032,-,
GRAN BUENOS AIRES (NORTE),DON TORCUATO,112,CASTELLI,AV. A.T. DE ALVEAR 2767,-,
GRAN BUENOS AIRES (NORTE),DON TORCUATO,2186,ZONA VITAL TORCUATO,AV. A.T. DE ALVEAR 1999,-,
GRAN BUENOS AIRES (NORTE),EL PALOMAR,1547,FERMAN,AV. LIBERTAD 2394,-,
GRAN BUENOS AIRES (NORTE),FLORIDA (E),8009,IRIS,HIPOLITO YRIGOYEN 1756,-,
GRAN BUENOS AIRES (NORTE),FLORIDA (O),86,MITRE,AV. MITRE 620,-,
GRAN BUENOS AIRES (NORTE),GARIN,474,LOPEZ,PTE PERON 905,-,
GRAN BUENOS AIRES (NORTE),GENERAL PACHECO,2141,GASPARIN,HIPOLITO YRIGOYEN 786,-,
GRAN BUENOS AIRES (NORTE),GRAND BOURG,239,LAGUZZI,FRANCISCO SEGUI 1455,-,
GRAN BUENOS AIRES (NORTE),HURLINGHAM,85,NAVARRO,JULIO ARGENTINO ROCA 2001,-,
GRAN BUENOS AIRES (NORTE),HURLINGHAM,1151,ABAURREA,JAURETCHE 1361,-,
GRAN BUENOS AIRES (NORTE),ING. MASCHWITZ,8073,SPINELLA,MOCORETA 338,-,
GRAN BUENOS AIRES (NORTE),J.LEON SUAREZ,1916,ZAKROISKI,25 DE MAYO 102,-,
GRAN BUENOS AIRES (NORTE),JOSE C. PAZ,439,PAZOS,PTE. PERON 4708,-,
GRAN BUENOS AIRES (NORTE),L.DE SAN ISIDRO,9601,FARMAPLUS LOMAS I,DIEGO CARMAN 539,+,4765-6089/8695
GRAN BUENOS AIRES (NORTE),LA HORQUETA,4181,ALESEL,BLANCO ENCALADA 2486,-,
GRAN BUENOS AIRES (NORTE),LA LUCILA,43,BORGES,ROMA 800,-,
GRAN BUENOS AIRES (NORTE),LA LUCILA,1856,SELMA LA LUCILA,RAWSON 3785,-,
GRAN BUENOS AIRES (NORTE),MARTINEZ,192,ZONA VITAL MARTINEZ,AV. SANTA FE 2013,-,
GRAN BUENOS AIRES (NORTE),MARTINEZ,2243,EL FENIX,AV. FLEMING 2135,-,
GRAN BUENOS AIRES (NORTE),MARTINEZ,4235,ZONA VITAL UNICEN.II,PARANA 3745(UNICENTER),+,4836-0932
GRAN BUENOS AIRES (NORTE),MUNRO,2260,CENTRAL MUNRO,VELEZ SARSFIELD 4164,-,
GRAN BUENOS AIRES (NORTE),MUNRO,2279,TKL LA PERLA,VELEZ SARSFIELD 4653,-,
GRAN BUENOS AIRES (NORTE),MUNRO,2370,TARICA,AV. VELEZ SARSFIELD 4875,-,
GRAN BUENOS AIRES (NORTE),OLIVOS,40,LA SUIZO,AV. MAIPU 2223,-,
GRAN BUENOS AIRES (NORTE),OLIVOS,2298,SELMA,AV. MAIPU 2440,-,
GRAN BUENOS AIRES (NORTE),PILAR,4794,PILARFARMA,SARRATEA 15 (EX-T.DE PILAR),-,
GRAN BUENOS AIRES (NORTE),SAN FERNANDO,1046,ANDREU,CONSTITUCION 1286,-,
GRAN BUENOS AIRES (NORTE),SAN ISIDRO,1111,SELMA,AV. CENTENARIO 300,-,
GRAN BUENOS AIRES (NORTE),SAN ISIDRO,2269,FABRIS,CENTENARIO 448,-,
GRAN BUENOS AIRES (NORTE),SAN ISIDRO,92005,FARMAPLUS LOMAS III,CENTENARIO 888,-,
GRAN BUENOS AIRES (NORTE),SAN MARTIN,2325,NUEVA PASCUAL,BELGRANO 3600,-,
GRAN BUENOS AIRES (NORTE),SAN MARTIN,2371,TERAN,SAN LORENZO 2200,-,
GRAN BUENOS AIRES (NORTE),SAN MARTIN,8185,GOLDIN,CALLE 117 NECOCHEA 2038,+,4755-3048
GRAN BUENOS AIRES (NORTE),SAN MARTIN,9944,PORTOFINO,SAN LORENZO 3773,-,
GRAN BUENOS AIRES (NORTE),SAN MIGUEL,376,C. OESTE SAN MIGUEL,LEANDRO N. ALEM 1696,-,
GRAN BUENOS AIRES (NORTE),SAN MIGUEL,8591,TKL CENTRAL S.MIGUEL,AV. MITRE 1181,-,
GRAN BUENOS AIRES (NORTE),TIGRE,1104,DEL PUEBLO EXPRESS,AV.DEL LIB.GRAL.SAN MARTIN 51,-,
GRAN BUENOS AIRES (NORTE),TIGRE,1981,SARMIENTO,CAZON 1200,-,
GRAN BUENOS AIRES (NORTE),TIGRE,2131,DEL PUEBLO,CAZON 1550,-,
GRAN BUENOS AIRES (NORTE),TORTUGUITAS,8720,WASSERMANN,DIRECTORIO 507,-,
GRAN BUENOS AIRES (NORTE),VICENTE LOPEZ,341,ZONA VITAL VTE.LOPEZ,AV. MAIPU 918,-,
GRAN BUENOS AIRES (NORTE),VICTORIA,2168,PELMAN (GANDUGLIA),AV. JUAN DOMINGO PERON 3302,-,
GRAN BUENOS AIRES (NORTE),VILLA ADELINA,262,SELMA,PARANA 6502,-,
GRAN BUENOS AIRES (NORTE),VILLA BALLESTER,2281,ANTIGUA DEL AGUILA,ALVEAR 251,-,
GRAN BUENOS AIRES (NORTE),VILLA BOSCH,2230,NUEVA CRUCCI,MIGUEL ANGEL 5463,-,
GRAN BUENOS AIRES (NORTE),VILLA DE MAYO,1615,RUJANA,ARQUIMEDES 309,-,
GRAN BUENOS AIRES (NORTE),VILLA MARTELLI,209,BRZEZINSKI,PERU 508,-,
GRAN BUENOS AIRES (NORTE),VILLA TESEI,1009,PRINCIPAL TESEI,AV. GOB. VERGARA 2284,-,
GRAN BUENOS AIRES (OESTE),CASTELAR,1554,FRASCINO,BUENOS AIRES 559,-,
GRAN BUENOS AIRES (OESTE),CASTELAR,1614,ROSSI DE CASTELAR,AV. INOCENCIO ARIAS 2408,-,
GRAN BUENOS AIRES (OESTE),CIUDAD EVITA,1844,CANO,EL PAYADOR 1953 C1 S2 M19,-,
GRAN BUENOS AIRES (OESTE),CIUDADELA,9717,NIRINO,AV.RIVADAVIA 12386,-,
GRAN BUENOS AIRES (OESTE),HAEDO,342,HAEDO,CASEROS 2,-,
GRAN BUENOS AIRES (OESTE),ISIDRO CASANOVA,1212,DEMARIA,CRISTIANIA 1893,-,
GRAN BUENOS AIRES (OESTE),ITUZAINGO,124,SAS,SOLER 79,-,
GRAN BUENOS AIRES (OESTE),LAFERRERE,202,LA PLAZA,AV. LURO 5881,-,
GRAN BUENOS AIRES (OESTE),LAFERRERE,5574,MIGUEZ,AV. LURO 6154,-,
GRAN BUENOS AIRES (OESTE),MERLO,375,NUEVA FUNES,AV. DEL LIBERTADOR 363,-,
GRAN BUENOS AIRES (OESTE),MORENO,340,A.S.AFINIDAD SOCIAL,JOLY 2597,-,
GRAN BUENOS AIRES (OESTE),MORENO,5963,ALTOS DE MORENO,ESPA#A 237,-,
GRAN BUENOS AIRES (OESTE),MORON,76,MODERNA,25 DE MAYO 139,-,
GRAN BUENOS AIRES (OESTE),MORON,265,CENTRAL MORON,AV. RIVADAVIA 18161,-,
GRAN BUENOS AIRES (OESTE),MORON,267,COGLIATI,BELGRANO 294,-,
GRAN BUENOS AIRES (OESTE),PASO DEL REY,74,CIENTIFICA FARMAX,SALVADOR DEL CARRIL 325,-,
GRAN BUENOS AIRES (OESTE),RAFAEL CASTILLO,9923,MERA,POLLEDO 15,-,
GRAN BUENOS AIRES (OESTE),RAMOS MEJIA,46,CENTRAL OESTE PARATI,AV. RIVADAVIA 14002,-,
GRAN BUENOS AIRES (OESTE),RAMOS MEJIA,1978,MORENO 90,MORENO 90,-,
GRAN BUENOS AIRES (OESTE),S.A. DE PADUA,1007,NOGUERA,NOGUERA 23,-,
GRAN BUENOS AIRES (OESTE),S.A. DE PADUA,1563,GUERCIO,LAMBARE 1608,-,
GRAN BUENOS AIRES (OESTE),SAN JUSTO,263,VILELA,DR. ARIETA 3230,-,
GRAN BUENOS AIRES (OESTE),SAN JUSTO,380,ROMANO,PTE. ILLIA 2302,-,
GRAN BUENOS AIRES (OESTE),V. LUZURIAGA,1256,VISCARRO,BERMUDEZ 2571,-,
GRAN BUENOS AIRES (OESTE),V. LUZURIAGA,3575,MAKSYMENKO,BERMUDEZ 2876,-,
GRAN BUENOS AIRES (SUR),ADROGUE,167,NUEVA SEGUI,SEGUI 602 ESQ. AVELLANEDA,+,4214-1932
